;0;1;Match id;Authors;year;title;list_of_dublication;F_D;comment
639;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-201043149-1177#S#0265407510361729.txt;Foley,D. L., Pickles, A., Rutter, M. Gardner,C.O., Maes,H. H., Silberg, J. L. & Eaves, L. (2004). Risks for conduct disorder symptoms associated with parental alcoholism in stepfather families versus intact families from a community sample. Journal of Child Psychology and Psychiatry, 45, 687–696.;csa-assia-290850;Foley, D. L.SEMIKOLONE Pickles, A.SEMIKOLONE Rutter, M.SEMIKOLONE Gardner, C.O.SEMIKOLONE Maes, H. H.SEMIKOLONE Silberg, J. L.SEMIKOLONE Eaves, L.;2004;Risks for conduct disorder symptoms associated with parental alcoholism in stepfather families versus intact families from a community sample;['csa-assia-290850'];;
732;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-201101616-1177#S#0044118X09353572.txt;Bachanas, P. J., Morris, M. K., Lewis-Gess, J. K., Sarett-Cuasay, E. J., Flores, A. L., Sirl, K. S., et al. (2002). Psychological adjustment, substance use, HIV knowledge and risky sexual behaviour in at-risk minority females: Developmental differences during adolescence. Journal of Pediatric Psychology, 27, 373-384.;null;Bachanas, P. J.SEMIKOLONE Morris, M. K.SEMIKOLONE Lewis-Gess, J. K.SEMIKOLONE Sarett-Cuasay, E. J.SEMIKOLONE Flores, A. L.SEMIKOLONE Sirl, K. S.,;2002;Psychological adjustment, substance use, HIV knowledge and risky sexual behaviour in at-risk minority females: Developmental differences during adolescence;null;;
627;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-201043149-1177#S#0265407510361729.txt;Bray, J., & Berger, S. (1993). Developmental issues in stepfamilies research project: Family relationships and parent-child interactions. Journal of Family Psychology, 7, 76–90.;csa-ssa-199400404;Bray, J.SEMIKOLONE Berger, S. ;1993;Developmental issues in stepfamilies research project: Family relationships and parent-child interactions;['csa-ssa-199400404'];;
993;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-301-350k\csa-pei-10125244-1177#S#101053950301500109.txt;Goyder E, Barrat A, Irwig LM. Telling people about screening programmes and screening test results: how can we do better? J Med Screen 2000SEMIKOLONE 7: 123-6.;null;Goyder, E.SEMIKOLONE Barrat, A.SEMIKOLONE Irwig L. M.;2000;Telling people about screening programmes and screening test results: how can we do better?;null;;
10;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/61z80 - END VERSION\200710322-1177#S#1077801206295125.txt;Foubert, J. D. (2005). The Men’s Program: A peer education guide to rape prevention (3rd ed.). New York: Routledge.;null;Foubert, J. D.;2005;The Men’s Program: A peer education guide to rape prevention;null;;
1351;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/SSOAR\221.txt;Lazarus, Richard S. (1981). Streß und Streßbewältigung - ein Paradigma. In Sigrun-Heide Filipp (Hg.), Kritische Lebensereignisse (S.198-232). München: Urban & Schwarzenberg.;null;Lazarus, Richard S.;1981;Streß und Streßbewältigung - ein Paradigma;null;;
830;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-201101954-1177#S#0952695110378952.txt;Crowther-Heyck, H. (2006) ‘Patrons of the Revolution: Ideals and Institutions in Postwar Behavioral Science’, Isis 97: 420–46.;null;Crowther-Heyck, H.;2006;Patrons of the Revolution: Ideals and Institutions in Postwar Behavioral Science;null;;
450;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-ps-200507548-1177#S#0967010604049522.txt;Ruane, Joseph & Jennifer Todd, 1996. The Dynamics of Conflict in Northern Ireland: Power, Conflict and Emancipation. Cambridge: Cambridge University Press.;null;Ruane, JosephSEMIKOLONE Todd, Jennifer;1996;The Dynamics of Conflict in Northern Ireland: Power, Conflict and Emancipation;null;;
882;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-201101954-1177#S#0952695110378952.txt;Malmberg, B. (1964) New Trends in Linguistics: An Orientation, trans. E. Carney. Lund: University of Lund.;null;Malmberg, B.;1964;New Trends in Linguistics: An Orientation;null;;
693;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-201050526-1177#S#0268580909351328.txt;Ek, R. (1996) Hooligans: Fakten, Hintergründe, Analysen. Worms: Cicero Verlag.;fis-bildung-485490;Ek, R.;1996;Hooligans: Fakten, Hintergründe, Analysen;['fis-bildung-485490'];;
390;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-pais-2010-595067-1017#S#S0043887110000092.txt;Lahiri, Sajal, and Pascalis Raimondos-Moller. 2000. “Lobbying by Ethnic Groups and Aid Allocation.” Economic Journal 110, no. 462: C62–C79.;null;Lahiri, SajalSEMIKOLONE Raimondos-Moller, Pascalis;2000;Lobbying by Ethnic Groups and Aid Allocation;null;;
1118;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-301-350k\csa-pei-13758577-1054#S#bjoc#P#2001#P#2003.txt;Carpenter CL, Ross RK, Paganini-Hill A and Bernstein L (1999) Lifetime physical activity and breast cancer risk among post-menopausal women. Br J Cancer 80: 1852–1858;null;Carpenter, C. L.SEMIKOLONE Ross, R. K.SEMIKOLONE Paganini-Hill, A.SEMIKOLONE Bernstein, L. ;1999;Lifetime physical activity and breast cancer risk among post-menopausal women;null;;
818;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-201101954-1177#S#0952695110378952.txt;Brend, R. and Pike, K., eds (1977) The Summer Institute of Linguistics: its Works and Contributions. Berlin: Walter de Gruyter.;null;Brend, R.SEMIKOLONE Pike, K.;1977;The Summer Institute of Linguistics: its Works and Contributions;null;;
1291;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/SSOAR\221.txt;Bonß, Wolfgang & Hartmann, Heinz (Hg.). (1985). Entzauberte Wissenschaft. Zur Relativität und Geltung soziologischer Forschung. Soziale Welt, Sonderband 3. Göttingen: Schwartz.;iab-litdok-I860226F02;Bonß, WolfgangSEMIKOLONE Hartmann, Heinz;1985;Entzauberte Wissenschaft. Zur Relativität und Geltung soziologischer Forschung.;[u'gesis-solis-00110723', u'iab-litdok-I860226F02', u'wzb-bib-98299', u'ubk-opac-HL002451771', u'gesis-bib-6207'];;double line 70
1020;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-301-350k\csa-pei-11024008-1177#S#0959353500010004017.txt;?Biddle, S. and Mutrie, N. (1991) The Psychology of Physical Activity. London: Springer-Verlag.;null;Biddle, S.SEMIKOLONE Mutrie, N.;1991;The Psychology of Physical Activity;null;;
813;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-201101954-1177#S#0952695110378952.txt;Bar-Hillel, Y. (1964) Language and Information: Selected Essays on their Theory and Application. Reading, MA: Addison-Wesley.;null;Bar-Hillel, Y.;1964;Language and Information: Selected Essays on their Theory and Application;null;;
556;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-200500277-1177#S#1046496404263728.txt;Maltz, D. N., & Borker, R. A., (1982). A cultural approach to male-female miscommunication. In J. J. Gumperz (Ed.), Language and social identity (pp. 196-216). Cambridge, England: Cambridge University Press.;null;Maltz, D. N.SEMIKOLONE Borker, R. A.;1982;A cultural approach to male-female miscommunication;null;;
1251;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/SSOAR\120.txt;La Barre, W. (1992). Vorwort. In G. Devereux, Angst und Methode in den Verhaltenswissenschaften (3. Aufl., S. 9–12). Frankfurt/M.: Suhrkamp.;null;La Barre, W.;1992;Vorwort;null;;
738;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-201101616-1177#S#0044118X09353572.txt;Bimbela, J. L, & Jiménez, J. M. (1999). Cuestionario VIH/SIDA y jóvenes de Andalucía. Factores asociados a la prevención de la transmisión sexual [Questionnaire HIV/AIDS and youth in Andalucía. Factors associated with the prevention of sexual transmission]. In J. L. Bimbela, Juventud y sida: Análisis de conocimientos, actitudes y prácticas en Andalucía [Youth and AIDS: Analysis of knowledge, attitudes and practices in Alabama] (pp. 267-292). Unpublished doctoral dissertation, University of Barcelona, Spain.;null;Bimbela, J. L.SEMIKOLONE Jiménez, J. M.;1999;Cuestionario VIH/SIDA y jóvenes de Andalucía. Factores asociados a la prevención de la transmisión sexual;null;;
1089;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-301-350k\csa-pei-12741793-1002#S#art#P#24862.txt;Felson DT, Anderson JJ, Naimark A, Walker AM, Meenan RF. Obesity and knee osteoarthritis: the Framingham Study. Ann Intern Med 1988SEMIKOLONE109:18–24.;null;Felson, D.T.SEMIKOLONE Anderson, J.J.SEMIKOLONE Naimark, A.SEMIKOLONE Walker, A.M.SEMIKOLONE Meenan, R.F.;1988;Obesity and knee osteoarthritis: the Framingham Study;null;;
605;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-201043053-1177#S#1532708609354719.txt;Giroux, H. (2004). Neoliberalism and the death of democracy. In Proto-Fascism in AmericaSEMIKOLONE Neoliberalism and the demise of democracy (pp. 61-72). Bloomington, IN: Phi Delta Kappa Educational Foundation.;null;Giroux, H.;2004;Neoliberalism and the death of democracy;null;;
1311;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/SSOAR\221.txt;"Fleck, Christian (1992). Vom ""Neuanfang"" zur Disziplin? Überlegungen zur deutschsprachigen qualitativen Sozialforschung anläßlich einiger neuer Lehrbücher. Kölner Zeitschrift für Soziologie und Sozialpsychologie, 44/4, 747-765.";gesis-solis-00157798;Fleck, Christian;1992;"Vom ""Neuanfang"" zur Disziplin? Überlegungen zur deutschsprachigen qualitativen Sozialforschung anläßlich einiger neuer Lehrbücher";[u'csa-sa-93Z6784', u'iab-litdok-I930817D02', u'gesis-solis-00157798'];;double line 49
561;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-200500277-1177#S#1046496404263728.txt;Meeker, B. F.,&Weitzel-O’Neill, P. A. (1977). Sex roles and interpersonal behavior in taskorientated groups. American Sociological Review, 42, 91-105.;null;Meeker, B. F.SEMIKOLONE Weitzel-O’Neill, P. A.;1977;Sex roles and interpersonal behavior in taskorientated groups;null;;
764;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-201101616-1177#S#0044118X09353572.txt;Hampel, P., & Petermann, F. (2006). Perceived stress, coping and adjustment in adolescents. Journal of Adolescent Health, 38, 409-415.;csa-assia-200610775;Hampel, P.SEMIKOLONE Petermann, F.;2006;Perceived stress, coping and adjustment in adolescents;['csa-assia-200610775'];;
263;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/61z80 - END VERSION\200943351-1177#S#0021886309335070.txt;Von Bertalanffy, L. (1967). Robots, men and minds: Psychology in the modern world. New York: Braziller.;null;Von Bertalanffy, L.;1967;Robots, men and minds: Psychology in the modern world;null;;
1273;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/SSOAR\120.txt;Smith, J.A., Harré, R. & Van Langenhove, L. (Hrsg.) (1995a). Rethinking Psychology. London: Sage.;null;Smith, J. A.SEMIKOLONE Harré, R.SEMIKOLONE Van Langenhove, L. ;1995;Rethinking Psychology;null;;
544;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-200500277-1177#S#1046496404263728.txt;Kohlberg, L. (1966).A cognitive developmental analysis of children’s sex role concepts and attitudes. In E. E. Maccoby (Ed.), The development of sex differences (pp. 82-173). Stanford, CA: Stanford University Press.;null;Kohlberg, L.;1966;A cognitive developmental analysis of children’s sex role concepts and attitudes;null;;
856;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-201101954-1177#S#0952695110378952.txt;Harris, R. A. (1993b) ‘Generative Semantics: Secret Handshakes, Anarchy Notes, and the Implosion of Ethos’, Rhetoric Review 12: 125–59.;null;Harris, R. A.;1993;Generative Semantics: Secret Handshakes, Anarchy Notes, and the Implosion of Ethos;null;;
105;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/61z80 - END VERSION\200723880-1177#S#0044118X06295051.txt;Larson, R. W. (2000). Toward a psychology of positive youth development. American Psychologist, 55, 170-183.;csa-assia-151359;Larson, R. W.;2000;Toward a psychology of positive youth development;['csa-assia-151359'];;
1289;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/SSOAR\221.txt;Bock, Marlene (1992). Das halbstrukturierte-leitfadenorientierte Tiefeninterview. Theorie und Praxis der Methode am Beispiel von Paarinterviews. In Jürgen H.P. Hoffmeyer-Zlotnik (Hg.), Analyse verbaler Daten (S. 90-109). Opladen: Westdeutscher Verlag.;gesis-solis-00160651;Bock, Marlene;1992;Das halbstrukturierte-leitfadenorientierte Tiefeninterview. Theorie und Praxis der Methode am Beispiel von Paarinterviews.;[u'gesis-ssoar-2566', u'gesis-solis-00160651'];;
1185;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-301-350k\csa-ps-201024949-1177#S#0002764210368081.txt;Coates, D., & Humphreys, B. (2003). The effect of professional sports on earnings and employment in the services and retail sectors in US cities. Regional Science and Urban Economics, 33, 175–198.;null;Coates, D.SEMIKOLONE Humphreys, B. ;2003;The effect of professional sports on earnings and employment in the services and retail sectors in US cities;null;;
1311;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/SSOAR\221.txt;"Fleck, Christian (1992). Vom ""Neuanfang"" zur Disziplin? Überlegungen zur deutschsprachigen qualitativen Sozialforschung anläßlich einiger neuer Lehrbücher. Kölner Zeitschrift für Soziologie und Sozialpsychologie, 44/4, 747-765.";gesis-solis-00157798;Fleck, Christian;1992;"Vom ""Neuanfang"" zur Disziplin? Überlegungen zur deutschsprachigen qualitativen Sozialforschung anläßlich einiger neuer Lehrbücher";[u'csa-sa-93Z6784', u'iab-litdok-I930817D02', u'gesis-solis-00157798'];;double line 39
123;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/61z80 - END VERSION\200814418-1177#S#1468794107085297.txt;Cahill, A.J. (2001) Rethinking Rape. Ithaca, NY & Lontoo: Cornell University Press.;null;Cahill, A. J.;2001;Rethinking Rape;null;;
1364;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/SSOAR\221.txt;Popper, Karl R. (1969/1972). Die Logik der Sozialwissenschaften. In Theodor W. Adorno, Ralf Dahrendorf, Harald Pilot, Hans Albert, Jürgen Habermas & Karl R. Popper (Hg.) Der Positivismusstreit in der deutschen Soziologie (S.103-123). Neuwied/Berlin: Luchterhand. Popper, Karl R. (1973). Objektive Erkenntnis. Ein evolutionärer Entwurf. Hamburg: Hoffmann & Campe.;null;Popper, Karl R.;1969SEMIKOLONE 1972;Die Logik der Sozialwissenschaften;null;;
1298;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/SSOAR\221.txt;Breiter, Andreas (1995). Die Forschung über künstliche Intelligenz und ihre sanduhrförmige Entwicklungsdynamik. Kölner Zeitschrift für Soziologie und Sozialpsychologie, 47/2, 295-318.;gesis-solis-00193121;Breiter, Andreas;1995;Die Forschung über künstliche Intelligenz und ihre sanduhrförmige Entwicklungsdynamik;[u'gesis-solis-00193121', u'csa-sa-9601558', u'gesis-bib-37144'];;
1093;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-301-350k\csa-pei-12741793-1002#S#art#P#24862.txt;Dequeker J, Mohan S, Finkelman RD, Aerssens J, Baylink DJ. Generalized osteoarthritis associated with increased insulinlike growth factor types I and II and transforming growth factor  in cortical bone from the iliac crest: possible mechanism of increased bone density and protection against osteoporosis. Arthritis Rheum 1993SEMIKOLONE36:1702–8.;null;Dequeker, J.SEMIKOLONE Mohan, S.SEMIKOLONE Finkelman, R. D.SEMIKOLONE Aerssens, J.SEMIKOLONE Baylink, D. J.;1993;Generalized osteoarthritis associated with increased insulinlike growth factor types I and II and transforming growth factor  in cortical bone from the iliac crest: possible mechanism of increased bone density and protection against osteoporosis;null;;
1191;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-301-350k\csa-ps-201024949-1177#S#0002764210368081.txt;Edy, J., & Meirick, P. (2007). Wanted, dead or alive: Media frames, frame adoption, and support for the war in Afghanistan. Journal of Communication, 57, 119–141.;null;Edy, J.SEMIKOLONE Meirick, P.;2007;Wanted, dead or alive: Media frames, frame adoption, and support for the war in Afghanistan;null;;
33;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/61z80 - END VERSION\200710322-1177#S#1077801206295125.txt;Schewe, P. A. (2002). Guidelines for developing rape prevention and risk reduction interventions. In P. A. Schewe (Ed.), Preventing violence in relationships: Interventions across the life span (pp. 107-136). Washington, DC: American Psychological Association.;null;Schewe, P. A. ;2002;Guidelines for developing rape prevention and risk reduction interventions;null;;
500;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-200500277-1177#S#1046496404263728.txt;Berger, J., Rosenholtz, S. J., & Zelditch, M., Jr. (1980). Status organizing processes. In A. Inkeles & R. H. Turner (Eds.), Annual Review of Sociology, 6, 479-508.;csa-sa-82M3962;Berger, J.SEMIKOLONE Rosenholtz, S. J.SEMIKOLONE Zelditch, M. Jr.;1980;Status organizing processes;['csa-sa-82M3962'];;
509;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-200500277-1177#S#1046496404263728.txt;Coates, J. (1986).Women, men, and language: A sociolinguistic account of sex differences in language. London: Longman.;null;Coates, J.;1986;Women, men, and language: A sociolinguistic account of sex differences in language;null;;
946;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-301-350k\csa-pais-2008-241353-1177#S#0891242408325585.txt;United Nations Conference on Trade and Development. (2005). Prospects for foreign direct investment and strategies of transnational corporations 2005-2008. New York & Geneva, Switzerland: Author.;null;United Nations Conference on Trade and Development.;2005;Prospects for foreign direct investment and strategies of transnational corporations 2005-2008;null;;
1247;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/SSOAR\120.txt;Fuchs, M. & Berg, E. (1993). Phänomenologie der Differenz. Reflexionsstufen ethnographischer Repräsentation. In E. Berg & M. Fuchs (Hrsg.), Kultur, soziale Praxis, Text. Die Krise der ethnographischen Repräsentation (S. 11 –108). Frankfurt/M.: Suhrkamp.;null;Fuchs, M.SEMIKOLONE Berg, E.;1993;Phänomenologie der Differenz. Reflexionsstufen ethnographischer Repräsentation;null;;
